class,id
C,AFC-CSO-RCV
C,AFC-CSO-CRA
C,AFC-CSO-EMR
C,AFC-CSO-IMA
C,AFC-CSO-ACK
C,CCM-AGM-ROR
C,CCM-AGM-NFA
C,CCM-AGM-NAR
C,CCM-AGM-CSC
C,CCM-OCR-AVL
C,CCM-OCR-NRD
C,CCM-OCR-FBM
C,CCM-OCR-AFS
C,CCM-OCR-LSI
C,CCM-OCR-SOR
C,CCM-OCR-RPS
C,CCM-QTR-MTG
C,CCM-QTR-REG
C,CCM-QTR-NRD
C,CCM-QTR-NID
C,CCM-QTR-SAR
C,CCM-QTR-ACT
C,CCM-QTR-RTR
C,CCM-QTR-RTP
C,CCM-QTR-SRR
C,CCM-QTR-SCR
C,CDS-CSO-PUB
C,CDS-CSO-SVC
C,CDS-CSO-FID
C,CDS-CSO-FRC
C,CDS-CSO-AVR
C,CDS-CSO-UTC
C,CDS-CSO-CBF
C,CDS-CSO-RIS
C,CDS-CSO-IRP
C,CDS-CSO-HAD
C,CDS-CSO-PSM
C,CDS-CSO-RPS
C,CDS-TRC-USH
C,CDS-TRC-PAC
C,CDS-TRC-AAI
C,CDS-TRC-ACL
C,CDS-TRC-HMR
C,CDS-TRC-SSM
C,CDS-UTC-AAD
C,CDS-UTC-AGA
C,CMU-CSO-CMD
C,CMU-CSO-UVM
C,CMU-CSO-CAT
C,CPO-CSO-OVR
C,CPO-CSO-MTD
C,CPO-CSX-CPM
C,FRC-CSO-FCP
C,FRC-CSO-PKG
C,FRC-CSO-JSN
C,FRC-CSO-MRA
C,FRC-CSO-POP
C,FRC-APP-MLF
C,FRC-APP-AFC
C,FRC-APP-FCP
C,FRC-APP-FIA
C,FRC-APP-NTP
C,FRC-APP-USA
C,FRC-CSX-VVK
C,FRC-CSX-MOT
C,FRC-CSX-VVR
C,FRC-CSX-MAS
C,IEC-FRP-ORV
C,IEC-CSO-EFR
C,IEC-CSO-DPR
C,IEC-CSO-IIR
C,IEC-CSO-OIR
C,IEC-CSO-FIR
C,IEC-CSO-EFI
C,IEC-CSO-AIR
C,IVV-CSO-FIA
C,IVV-CSO-SEI
C,IVV-CSO-SEE
C,IVV-CSO-ICP
C,IVV-CSO-DUS
C,IVV-CSO-STE
C,IVV-CSO-USR
C,IVV-CSO-RAA
C,IVV-IAS-VIM
C,IVV-IAS-VEF
C,IVV-IAS-SUM
C,IVV-IAS-OSA
C,IVV-IAS-VIP
C,IVV-IAS-EPX
C,IVV-IAS-SHA
C,IVV-CSX-AIA
C,MAS-CSO-IIR
C,MAS-CSO-FLO
C,MAS-CSO-TPR
C,MAS-CSO-MDI
C,MAS-CSO-SUP
C,MKT-FRP-SOF
C,MKT-CSO-MLR
C,MKT-CSO-PML
C,MKT-IAS-OFR
C,MKT-IAS-WEB
C,MKT-IAS-LRQ
C,MKT-CAS-WEB
C,MKT-CAS-LRQ
C,MKT-CAS-RFR
C,MKT-IIP-AGU
C,MKT-IIP-DCP
C,MKT-IIP-DLA
C,SCG-CSO-RSC
C,SCG-CSO-AUP
C,SCG-CSO-PUB
C,SCG-CSO-SDF
C,SCG-ENH-CMP
C,SCG-ENH-EXP
C,SCG-ENH-API
C,SCG-ENH-MRG
C,SCG-ENH-VRH
C,SCN-FRP-CAP
C,SCN-CSO-EVA
C,SCN-CSO-MAR
C,SCN-CSO-INF
C,SCN-CSO-HIS
C,SCN-CSO-HRM
C,SCN-CSO-ARI
C,SCN-CSO-NOM
C,SCN-CSO-EMG
C,SCN-ADP-NTF
C,SCN-RTR-NNR
C,SCN-TRF-NIP
C,SCN-TRF-NFP
C,SCN-TRF-NAF
C,SCN-TRF-NAV
C,SCN-TRF-UPD
C,SCN-TRF-TPR
C,SDR-CSO-FRR
C,SDR-CSO-MTD
C,SDR-CSX-KSI
C,SDR-CSX-KMT
C,VDR-CSO-DET
C,VDR-CSO-RES
C,VDR-CSO-FAV
C,VDR-CSO-DFR
C,VDR-CSO-ADT
C,VDR-CSO-DAC
C,VDR-CSO-MSP
C,VDR-CSO-AKE
C,VDR-CSO-SIR
C,VDR-TFR-NMV
C,VDR-TFR-PDD
C,VDR-TFR-PCD
C,VDR-TFR-PVR
C,VDR-TFR-RMN
C,VDR-TFR-KEV
C,VDR-TFR-PSD
C,VDR-TFR-MVX
C,VER-FRP-ARP
C,VER-FRP-ADV
C,VER-AGM-NFR
C,VER-AGM-RVR
C,VER-AGM-MAP
C,VER-AGM-DRE
C,VER-EVA-ELX
C,VER-EVA-EIR
C,VER-EVA-EPA
C,VER-EVA-AIA
C,VER-EVA-GRV
C,VER-EVA-EFP
C,VER-EVA-EFA
C,VER-RPT-PER
C,VER-RPT-VDT
C,VER-RPT-AVI
C,VER-RPT-NID
C,VER-RPT-HLO
C,VER-RPT-RPD
C,VER-TFR-MHR
C,VER-TFR-MAV
C,VER-TFR-MRH
C,VER-TFR-EVU
C,VER-TFR-IRI
C,VER-TFR-NRI
